0 metrology,1,AMX3d AMX,Solar Cells (4-pack),12.56,5V/30 mA,Price is for four cells,https://www.amazon.com/AMX3d-53X30mm-Panels-Wires-Projects/dp/B06XTS9SQ1,12,5,
0 metrology,1,PCB board,Protoboard (4-pack),12.99,--,Backing for solar panel,https://www.amazon.com/Double-Sided-Protoboard-Prototyping-9X15CM/dp/B07HFCDFWT/ref=sr_1_6?crid=1SQXE35XR6H0M&keywords=LYM+Double+Sided+Protoboard+Prototyping+P&qid=1673980148&sprefix=lym+double+sided+protoboard+prototyping+p%2Caps%2C177&sr=8-6,5,1,
0 metrology,1,PRT-00112,breadboard assembly,10.95,,solderless breadboard assembly,https://www.sparkfun.com/products/112,12,5,
0 metrology,1,TW-E012-000,jumper wire kit,6.99,,140 pieces,https://www.digikey.com/en/products/detail/twin-industries/TW-E012-000/643115,12,12,
0 metrology,1,SEN-14544,current sensor,17.5,,SparkFun Current Sensor Breakout - ACS723 (Low Current,https://www.sparkfun.com/products/14544,5,5,
0 metrology,1,MKR 1010,Microcontroller,38.6,5,,https://store-usa.arduino.cc/products/arduino-mkr-wifi-1010,12,15,
1 solar,1,MKR Zero,Microcontroller,30.3,5V,Main C&DH for FlatSat -- buy w/ headers!,https://store-usa.arduino.cc/products/arduino-mkr-zero-i2s-bus-sd-for-sound-music-digital-audio-data?selectedStore=us,10,10,
1 solar,0.1,1119,button,2.5,,Tactile Switch Buttons  x 10 pack,https://www.adafruit.com/product/1119,10,10,
1 solar,0.2,222-413/K194-4045,Wago splice,21.83,,(box of 50) terminal butt splice,https://www.digikey.com/en/products/detail/wago-corporation/222-413-K194-4045/13549312,1,1,
1 solar,0.5,MC6C,li-ion charger,17.99,,6 bay li-ion battery charger,https://www.18650batterystore.com/collections/18650-battery-charger/products/xtar-mc6c,5,5,
1 solar,1,181,lcd,9.95,,Standard LCD 16x2 + extras,https://www.adafruit.com/product/181,10,10,
1 solar,1,,potentiometer,,,,,,,
1 solar,1,112990066,microsd card,7,,32GB MicroSD card,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/112990066/10290294,12,12,
1 solar,1,904,current sensor,9.95,,INA219 High Side DC Current Sensor Breakout,https://www.adafruit.com/product/904,12,12,
1 solar,1,106990288,3S battery holder,0.6,,3-cell 18650 battery holder,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/106990288/10451902,12,12,
1 solar,1,LS118-P,debounce IC,3.32,,LogiSwitch 3-chan debounce chip with handshake,https://www.digikey.com/en/products/detail/logiswitch/LS118-P/13540813,12,12,
1 solar,1,1385,5V BEC power supply,7.98,,UBEC DC/DC Step-Down (Buck) Converter - 5V @ 3A output,https://www.adafruit.com/product/1385,12,12,
1 solar,3,,18650 battery,4.5,,epoch 18650 2.6Ah protected battery,https://www.18650batterystore.com/collections/18650-batteries/products/epoch-18650-2600mah-8a-protected-button-top-battery,30,30,
2 camera,1,OV2640 2MP,ArduCam Mini Module,25.99,5,Camera,https://www.amazon.com/Arducam-Module-Megapixels-Arduino-Mega2560/dp/B012UXNDOY/ref=asc_df_B012UXNDOY/?tag=hyprod-20&linkCode=df0&hvadid=309807187084&hvpos=&hvnetw=g&hvrand=8524226097810707732&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9029028&hvtargid=pla-570327153549&psc=1,12,5,
3 comm,1,WRL15130,Xbee 3 module RF-SMA antenna,21.5,5,FlatSat Transceivers,https://www.sparkfun.com/products/15130,17,17,
3 comm,1,WRL 11812,Xbee explorer USB,27.95,5,arduino interface ,https://www.sparkfun.com/products/11812,12,5,
3 comm,2,W1038,rubber ducky antenna,3.58,,Omni directional antennas for both FlatSat & GS,https://www.digikey.com/en/products/detail/pulselarsen-antennas/W1038/1619691,15,15,
3 comm,0.5,WRL-11697,Xbee dongle,27.95,,laptop interface,https://www.sparkfun.com/products/11697,7,5,
4 attitude,1,ICM-20948,9DoF IMU,18.5,5V,gyroscope/accelerometer/magnetometer,https://www.sparkfun.com/products/15335,12,5,
4 attitude,1,4758,DC brushed motor w/ encoder,47.79,12V,Reaction wheel motor w/ encoder to read speed,https://www.pololu.com/product/4758,5,5,
4 attitude,1,2997,DC motor controller,10.99,5V,DC motor controller to command reaction wheel,https://www.pololu.com/product/2997,12,5,
4 attitude,1,wf-p25/20,Electro Magnet,9.99,5V,Uxcell 5V 50N electromagnet -- torque rod,https://www.amazon.com/uxcell-Electric-Lifting-Electromagnet-Solenoid/dp/B01N5OPUEC/ref=pd_lpo_2?pd_rd_i=B01N5OPUEC&psc=1,12,0,
4 attitude,4,          475-3521-1,Mini Photocell,1.6,,Photodiode to detect light on FlatSat (would need to 3d print mounts in 4 directions),https://www.sparkfun.com/products/9088,48,0,
4 attitude,0.125,360-H02 extruded,"4"" diameter brass rod",600.05,,Brass to machine reaction wheels out of,https://www.onlinemetals.com/en/buy/brass/4-brass-round-bar-360-h02-extruded/pid/1292,1,1,
4 attitude,1,PRT-12615,breadboard,6.5,,solderless breadboard,https://www.sparkfun.com/products/12615,,0,
